theta channel 57,theta channel 59,theta channel 50,bin 3 channel 11,medfreq channel 43,gamma channel 43,bin 4 channel 20,bin 6 channel 11,meanfreq channel 23,bin 4 channel 49,maxfreq channel 24,bin 3 channel 9,bin 7 channel 20,maxfreq channel 43,bin 6 channel 20,theta channel 52,maxfreq channel 23,gamma channel 23,bin 7 channel 49,delta channel 43,delta channel 51,bin 2 channel 11,bin 3 channel 49,medfreq channel 23,theta channel 58,medfreq channel 56,bin 4 channel 9,gamma channel 54,medfreq channel 33,medfreq channel 59,medfreq channel 54,bin 7 channel 9,bin 4 channel 11,meanfreq channel 33,mid range beta channel 7,meanfreq channel 59,bin 6 channel 9,high range beta channel 43,maxfreq channel 54,maxfreq channel 51,bin 5 channel 25,medfreq channel 47,gamma channel 33,bin 6 channel 18,bin 8 channel 20,var channel 43,bin 7 channel 11,high range beta channel 47,meanfreq channel 56,gamma channel 36
0.0092872767317105,0.0102699475261666,0.1088862352200299,828.0,10.8,0.0066627267637663,1696.0,571.0,27.021566379079548,1572.0,11.0,909.0,172.0,3.4000000000000004,643.0,0.0277940964509432,11.0,0.0826984949206248,231.0,0.0748272427550067,0.1798127940954812,214.0,636.0,18.8,0.0055226935301084,35.0,1804.0,0.3710179081213705,39.2,31.8,35.0,165.0,1729.0,39.35507093388057,0.1265815437357419,35.92891526167207,531.0,0.0116842363294354,11.8,3.4000000000000004,1565.0,22.8,0.5547556926947131,1131.0,29.0,20.061515651171405,193.0,0.0558084414690377,36.65168052514067,0.0032080629373909
0.2480736413246995,0.0291846109082444,0.0861234865783222,597.0,10.8,0.0018445245714754,812.0,646.0,16.757915662832374,141.0,12.4,641.0,746.0,11.0,1327.0,0.0180365368896483,12.4,0.0021650987355614,682.0,0.0138991347598843,0.0037991021496407,104.0,103.0,12.4,0.0242312477711126,10.6,1274.0,0.0001544210293407,11.4,10.4,10.6,427.0,1708.0,16.37468058135734,0.0841926315817898,11.338515002464913,830.0,0.0051729129293228,10.8,10.4,1319.0,10.8,0.0050543614506171,1212.0,202.0,31.75900795461376,160.0,0.0014181970895081,11.698527341157826,0.0035933182952071
0.0864322393967799,0.0329817757531044,0.0397147742711473,719.0,7.4,0.0031271132071313,885.0,936.0,25.67446323424348,944.0,2.2,615.0,675.0,1.2000000000000002,1304.0,0.0504232186058426,9.8,0.1450560761480101,706.0,0.412136185886003,0.8489015513388014,156.0,451.0,18.4,0.0133279390963687,27.200000000000003,976.0,0.1237703931923984,37.4,35.800000000000004,18.6,624.0,1246.0,37.2006197222933,0.0171137061469893,37.60592624546058,998.0,0.0046057408602774,2.0,1.2000000000000002,1542.0,13.6,0.5005431074288124,893.0,262.0,7.572314522010734,373.0,0.0406595543471645,30.791956120949408,0.0098139160611731
0.6731879278734999,0.3236711585380488,0.5916064579682936,878.0,6.800000000000001,0.0007503142957166,809.0,488.0,15.054955849170357,930.0,1.2000000000000002,982.0,713.0,6.800000000000001,1295.0,0.4199383278416105,2.0,0.0071755379969591,835.0,0.3586453831436148,0.2000438265561204,136.0,366.0,7.0,0.4003506875491101,9.6,1946.0,0.0121482993723403,7.0,18.8,8.200000000000001,75.0,1973.0,16.70041528169166,0.0351912887662364,26.80604926243001,434.0,0.0042135750740959,2.4000000000000004,4.4,1023.0,6.800000000000001,0.0216272273294289,1351.0,226.0,11.069986621664938,95.0,0.0100192626073299,20.30201484404608,0.002010710924673
0.067686228829379,0.3677947780355236,0.0855147239265475,667.0,4.6000000000000005,0.0086554719060154,987.0,843.0,36.2542451826947,367.0,1.2000000000000002,196.0,667.0,1.2000000000000002,1069.0,0.1417103237209442,25.6,0.4413583812071501,1375.0,0.8545521307198177,0.3672233147009028,172.0,86.0,33.0,0.0195464812236321,20.200000000000003,554.0,0.0966950643043966,34.4,13.8,19.200000000000003,965.0,1405.0,38.26923300989012,0.109116057380812,23.05072154985991,1427.0,0.0060979331852281,10.4,10.4,1003.0,17.400000000000002,0.5591696193367646,1395.0,285.0,11.840821413111708,345.0,0.0236178034794346,28.606486762453255,0.0200409033033752
0.0631896508420686,0.2581376178778526,0.1557134072048465,199.0,6.4,0.0135847791214793,568.0,1494.0,38.45616365046668,417.0,1.8,71.0,1075.0,4.800000000000001,1457.0,0.0642292794100014,20.8,0.5302053115922108,1090.0,0.4712891713294034,0.2859159822536107,32.0,102.0,35.800000000000004,0.0044645123536865,23.200000000000003,377.0,0.2295479981643973,36.6,15.8,21.200000000000003,1184.0,677.0,39.5071435254967,0.0376726624884589,24.52853090366176,1483.0,0.0164812358835101,15.8,1.4,1282.0,18.0,0.4424798154007509,1330.0,414.0,10.99676658414456,853.0,0.0324067887742081,30.84041578323816,0.0385532317074087
0.0222821749115062,0.0120762436667962,0.0487190421230752,323.0,10.0,0.0018833072304934,943.0,1150.0,24.31169398591527,1066.0,2.0,327.0,710.0,10.4,1078.0,0.0591186421266014,11.2,0.0566018392306304,448.0,0.0628199271399384,0.0812868380913083,106.0,214.0,17.8,0.0412097215244424,38.0,885.0,0.355634545372803,35.800000000000004,38.2,38.0,777.0,907.0,37.68191549324815,0.1077127896285862,39.75234112687912,1174.0,0.0024746383521245,12.0,11.6,958.0,32.6,0.4493173061113508,1134.0,298.0,26.626216346108954,799.0,0.049951977125018,38.62631954139732,0.0040238618747808
0.042413566955208,0.1281374218405395,0.3306799867911304,603.0,8.6,0.2835659896890108,1098.0,988.0,32.88522688435414,490.0,5.0,664.0,509.0,2.6,1017.0,0.1445797596696332,1.6,0.2572537540960416,779.0,0.4856086516975164,0.137464628822369,145.0,92.0,28.6,0.0048096066730781,28.200000000000003,1043.0,0.2648442979324634,30.4,20.200000000000003,25.6,506.0,1126.0,35.16394508829905,0.0355583122642841,27.09343985577308,912.0,0.0077074947462971,12.0,50.0,914.0,19.6,0.362004163342677,1239.0,226.0,11.828257888163655,472.0,0.0470574305409715,32.94505600867393,0.0237136060921994
0.1032885593381058,0.0200310123860756,0.132862623347655,963.0,6.2,0.0036009025803236,862.0,458.0,27.713669478849138,716.0,2.0,388.0,836.0,1.6,1099.0,0.0886473377870736,1.4,0.2051459790582713,938.0,0.7877630466610097,0.4415023033715783,201.0,419.0,20.200000000000003,0.1566135415064719,27.0,834.0,0.062902186080062,14.6,25.6,12.6,684.0,1782.0,24.11743460779025,0.0158782354676301,29.558389669606942,1241.0,0.0021656798611256,1.2000000000000002,50.0,1116.0,11.6,0.0534185370470196,1142.0,371.0,4.106422662128542,104.0,0.0205106022567904,30.673759885698598,0.0055168446701943
0.6478446733310731,0.528076354257643,0.526538338310597,606.0,5.800000000000001,0.0010979960288313,1190.0,994.0,11.500290273476644,558.0,2.2,682.0,350.0,7.0,1069.0,0.3639063505588861,1.2000000000000002,0.0023335241798175,1277.0,0.4388880879350481,0.4174635714910585,226.0,230.0,7.0,0.1536593075201374,8.6,1091.0,0.0039914046733625,7.4,5.4,7.4,487.0,1045.0,12.591023387035744,0.011842605708569,9.7665155690713,961.0,0.0039130629574051,1.4,2.2,1365.0,9.6,0.0053567369325057,812.0,138.0,8.81916789336345,523.0,0.0151054001323092,12.073587744709846,0.0028687257558085
